City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Lasa,IT,2021-09-17 10:37:34,46.6166,10.7002,71.02,75,95,2.89
136,Aberystwyth,GB,2021-09-17 10:37:35,52.4155,-4.0829,67.66,75,100,13.67
137,Sitka,US,2021-09-17 10:37:35,57.0531,-135.33,45.68,88,100,10.11
138,Rawson,AR,2021-09-17 10:37:35,-43.3002,-65.1023,54.9,57,100,7.78
139,Concordia,AR,2021-09-17 10:37:35,-31.393,-58.0209,44.67,93,0,8.05
140,Lagunas,PE,2021-09-17 10:37:36,-5.2269,-75.6753,70.3,99,96,1.36
141,Mount Gambier,AU,2021-09-17 10:37:36,-37.8333,140.7667,53.51,87,52,10.36
142,Kodiak,US,2021-09-17 10:37:36,57.79,-152.4072,49.39,85,100,17.52
143,Grindavik,IS,2021-09-17 10:37:37,63.8424,-22.4338,46.87,66,75,13.8
144,Luau,AO,2021-09-17 10:37:37,-10.7073,22.2247,93.31,27,33,6.44
145,Wanning,CN,2021-09-17 10:37:38,18.8003,110.3967,81.52,80,8,6.13
146,Hobyo,SO,2021-09-17 10:37:38,5.3505,48.5268,83.08,70,70,27.31
147,Moussoro,TD,2021-09-17 10:37:38,13.6408,16.4901,101.3,14,77,6.96
148,Faanui,PF,2021-09-17 10:37:39,-16.4833,-151.75,78.33,76,2,22.91
149,Turukhansk,RU,2021-09-17 10:37:39,65.8167,87.9833,44.67,83,100,20.76
150,Laguna,US,2021-09-17 10:37:39,38.421,-121.4238,64.09,88,1,1.01
151,Sao Joao Da Barra,BR,2021-09-17 10:37:40,-21.6403,-41.0511,69.89,87,93,6.98
152,Richards Bay,ZA,2021-09-17 10:37:40,-28.783,32.0377,66.09,63,97,15.19
153,Hamilton,US,2021-09-17 10:37:40,39.1834,-84.5333,66.99,96,20,0.0
154,Bonaventure,CA,2021-09-17 10:37:40,48.0457,-65.4926,46.94,100,4,1.14
155,Kahului,US,2021-09-17 10:36:17,20.8947,-156.47,78.82,73,1,19.57
156,Puerto Ayora,EC,2021-09-17 10:37:41,-0.7393,-90.3518,65.55,99,69,1.99
157,Nikolskoye,RU,2021-09-17 10:37:41,59.7035,30.7861,49.89,49,50,7.56
158,Yellowknife,CA,2021-09-17 10:37:42,62.456,-114.3525,41.52,87,75,8.05
159,Alofi,NU,2021-09-17 10:37:42,-19.0595,-169.9187,73.29,100,10,2.3
160,Husavik,IS,2021-09-17 10:37:42,66.0449,-17.3389,46.31,92,100,12.59
161,Kharp,RU,2021-09-17 10:37:43,66.8014,65.8081,40.41,82,90,13.56
162,Macau,MO,2021-09-17 10:37:43,22.2006,113.5461,87.08,74,20,5.75
163,Champerico,GT,2021-09-17 10:37:43,14.3,-91.9167,78.35,85,100,4.52
164,Padang,ID,2021-09-17 10:37:44,-0.9492,100.3543,84.25,85,72,1.68
165,Mhlambanyatsi,SZ,2021-09-17 10:37:44,-26.45,31.0167,51.28,77,100,3.94
166,Butaritari,KI,2021-09-17 10:37:44,3.0707,172.7902,82.45,74,23,12.37
167,Nabire,ID,2021-09-17 10:37:45,-3.3667,135.4833,78.12,89,97,1.45
168,Xuddur,SO,2021-09-17 10:37:45,4.1213,43.8894,94.33,31,71,14.7
169,Bambous Virieux,MU,2021-09-17 10:37:45,-20.3428,57.7575,77.22,78,75,14.97
170,Port Elizabeth,ZA,2021-09-17 10:37:46,-33.918,25.5701,64.69,63,40,11.5
171,Bandarbeyla,SO,2021-09-17 10:37:46,9.4942,50.8122,89.83,54,10,25.64
172,Broome,US,2021-09-17 10:37:46,42.2506,-75.833,67.17,61,90,5.75
173,Uaua,BR,2021-09-17 10:37:47,-9.8414,-39.4817,72.64,68,92,19.46
174,Mehamn,NO,2021-09-17 10:37:47,71.0357,27.8492,46.58,61,0,19.57
175,Synya,RU,2021-09-17 10:37:48,65.3718,58.0387,39.78,85,100,11.1
176,Zhigansk,RU,2021-09-17 10:37:48,66.7697,123.3711,42.21,61,100,17.2
177,Nuuk,GL,2021-09-17 10:37:48,64.1835,-51.7216,32.61,86,20,6.91
178,Dudinka,RU,2021-09-17 10:37:49,69.4058,86.1778,45.16,68,19,10.49
179,Bilibino,RU,2021-09-17 10:37:49,68.0546,166.4372,32.65,76,100,3.15
180,Nantucket,US,2021-09-17 10:36:10,41.2835,-70.0995,69.94,91,90,10.36
181,Santa Isabel,BR,2021-09-17 10:37:49,-23.3156,-46.2214,62.31,94,100,5.79
182,Las Cruces,US,2021-09-17 10:37:50,32.3123,-106.7783,75.65,44,9,1.01
183,Wuchang,CN,2021-09-17 10:37:50,44.9143,127.15,60.28,69,0,2.39
184,Hofn,IS,2021-09-17 10:37:50,64.2539,-15.2082,53.62,94,90,5.75
185,Pisco,PE,2021-09-17 10:35:06,-13.7,-76.2167,55.45,88,57,2.3
186,Shingu,JP,2021-09-17 10:37:51,33.7333,135.9833,74.39,92,100,7.7
187,Caravelas,BR,2021-09-17 10:37:51,-17.7125,-39.2481,77.32,59,0,8.1
188,Meulaboh,ID,2021-09-17 10:37:52,4.1363,96.1285,82.09,74,94,7.27
189,Ljungby,SE,2021-09-17 10:37:52,56.8332,13.9408,55.98,93,100,13.06
190,Kruisfontein,ZA,2021-09-17 10:37:52,-34.0033,24.7314,61.88,52,97,9.93
191,Marsh Harbour,BS,2021-09-17 10:37:52,26.5412,-77.0636,82.69,69,6,3.87
192,Bairiki,KI,2021-09-17 10:37:53,1.3292,172.9752,80.6,78,20,11.5
193,Nyanguge,TZ,2021-09-17 10:37:53,-2.55,33.2,78.51,55,84,9.6
194,Murud,IN,2021-09-17 10:37:53,18.3258,72.965,83.35,69,48,5.35
