City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Tucurui,BR,83.3,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
157,Kermanshah,IR,88.7,clear sky,34.3142,47.065,Sina Hotel
161,Cabo San Lucas,MX,78.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
168,Caucasia,CO,74.89,overcast clouds,7.9865,-75.1935,Hotel San Rafael
170,Karratha,AU,75.15,few clouds,-20.7377,116.8463,ibis Styles Karratha
172,Imphal,IN,71.89,overcast clouds,24.8167,93.95,State Guest House
178,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
184,Quelimane,MZ,85.95,clear sky,-17.8786,36.8883,Hotel Flamingo
187,Toktogul,KG,80.46,clear sky,41.8708,72.9402,KAGAN
188,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
189,Teguise,ES,77.22,scattered clouds,29.0605,-13.564,B&B La Casona de Nazaret
194,Jardim,BR,84.09,scattered clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
195,Hami,CN,82.76,overcast clouds,42.8,93.45,Laoyutang Resort
197,Calamar,CO,80.55,clear sky,10.2511,-74.9146,Hostal Katyalex
204,Bayonet Point,US,78.94,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
205,Dabeiba,CO,73.08,broken clouds,7.0017,-76.2672,Hotel Amerindia
210,La Asuncion,VE,82.11,clear sky,11.0333,-63.8628,Colinas de Matasiete
214,Tautira,PF,73.42,light rain,-17.7333,-149.15,Pension Oaoa
215,Namibe,AO,72.57,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
220,Sembakung,ID,75.36,broken clouds,3.8167,117.25,
222,Nagato,JP,76.91,light rain,34.3833,131.2,いそう庵
224,Piacabucu,BR,76.91,broken clouds,-10.4056,-36.4344,Piaçabuçu News
225,Saint-Philippe,RE,78.35,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
231,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
232,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
233,Warri,NG,82.0,overcast clouds,5.5167,5.75,BON Hotel Delta
234,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
235,Belgrade,RS,83.86,clear sky,44.804,20.4651,Saruna Wellness - Hotel Park Belgrade
239,Acapulco,MX,76.77,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
240,Namatanai,PG,79.41,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
241,Thinadhoo,MV,83.77,overcast clouds,0.5333,72.9333,
245,Arras,FR,74.66,overcast clouds,50.293,2.7819,Appartements du Beffroi
246,Leiyang,CN,86.7,moderate rain,26.4024,112.8591,Dongyang Hotel
248,Iberia,US,75.27,few clouds,29.9502,-91.7507,back to back rv park
250,Katsuura,JP,75.31,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
251,San Patricio,US,79.83,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
253,Hambantota,LK,84.92,broken clouds,6.1241,81.1185,Bungalow 63
257,Gunjur,GM,81.36,overcast clouds,13.2019,-16.7339,Kuba Lodge
258,Chichester,GB,71.02,overcast clouds,50.8367,-0.78,The Vestry
259,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
262,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
265,Caliling,PH,79.25,overcast clouds,9.9804,122.4814,Emoha Dive Resort
266,Solsona,ES,78.58,clear sky,41.994,1.5171,Hotel Sant Roc
269,Jalalpur,PK,87.67,smoke,32.6374,74.2183,Maher Tent Service
273,Sjenica,RS,76.28,overcast clouds,43.2731,19.9994,MP Company Rooms
279,Wadi Musa,JO,74.71,clear sky,30.3222,35.4793,Petra Palace Hotel
281,Shimoda,JP,75.47,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
283,Trairi,BR,86.16,few clouds,-3.2778,-39.2689,janelas do mar
286,Touros,BR,85.1,few clouds,-5.1989,-35.4608,INN NEW HORIZON
287,Kavieng,PG,82.56,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
290,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
292,Fare,PF,78.48,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
293,Lasa,IT,74.03,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
294,Poltava,UA,73.74,overcast clouds,49.5937,34.5407,Yavir
295,Longview,US,73.44,overcast clouds,32.5007,-94.7405,Homewood Suites by Hilton Longview
298,Muisne,EC,74.46,overcast clouds,0.6,-80.0333,Quinta Samay
305,Lalmohan,BD,82.15,moderate rain,22.3384,90.7419,Sundorbon courier service
310,Villa Bruzual,VE,74.97,clear sky,9.3328,-69.1208,hotel italia
